accession	strain	country	division	host	date	location	_yea	cite	Group	hACE2 usage	Species	sample ID	sample ID sub	EH sample year	EH sample ID	custom naming		cave province code	cave code		asumption		cave region	collection_date	collection_month	comment	lat_lon
MG772868	MG772868|SARS-related|bat|coronavirus|bat-SL-CoVZ2_88	China	Zhejiang	Rh. sinicus	2016-XX-XX	Dinghai	Betacoronavirus	Hu et al. (2018)	PLA+Oth		SARSr					1900-03-28		ZJ	Z2				Far from Yunnan		2016-01-01		
MN312846	MN312846|Bat|SARS-like|coronavirus|isolate|NL140400	China	Guangdong	Rh. sinicus	2014-XX-XX	Nanling	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr			1900-01-13	1901-02-03			GD	NL				Far from Yunnan		2014-05-01		
MN312693	MN312693|Bat|SARS-like|coronavirus|isolate|151199	China	Hunan	Rh. sinicus	2015-XX-XX	Hunan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr			1900-01-14	1903-04-13			HN	?				Far from Yunnan		2015-08-01		
DQ648857	DQ648857|Bat|CoV|279/2005	China	Hubei	Rh. macrotis	2004-XX-XX		Betacoronavirus			No	SARSr					1900-10-05											
DQ412043	DQ412043|Bat|SARS|CoV|Rm1/2004	China	Hubei	Rh. macrotis	2004-11-XX	Yichang	Betacoronavirus	Li et al. (2005)	CAS		SARSr					1899-12-31		HB	-0				Far from Yunnan		2004-11-01		
MN312816	MN312816|Bat|SARS-like|coronavirus|isolate|9215	China	Hubei	Rh. sinicus	2015-XX-XX	Hubei	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1925-03-24						HB	?				Far from Yunnan		2015-08-01		
MN312815	MN312815|Bat|SARS-like|coronavirus|isolate|9214	China	Hubei	Rh. sinicus	2015-XX-XX	Hubei	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1925-03-23						HB	?				Far from Yunnan		2015-08-01		
MN312814	MN312814|Bat|SARS-like|coronavirus|isolate|9201	China	Hubei	Rh. sinicus	2015-XX-XX	Hubei	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1925-03-10						HB	?				Far from Yunnan		2015-08-01		
GU190231	GU190231|Bat|coronavirus|BNM98-29/BGR/2008	Bulgaria	Bulgaria	Rh. ferrumequinum	2008-XX-XX				Charite																		
KC633198	KC633198|Betacoronavirus|BtCoV/Rhi_fer/It1/ITA/2009	Italy	Italy	Rh. ferrumequinum	2009-XX-XX																						
KC633199	KC633199|Betacoronavirus|BtCoV/Rhi_fer/It17/ITA/2009	Italy	Italy	Rh. ferrumequinum	2009-XX-XX																						
KC633200	KC633200|Betacoronavirus|BtCoV/Rhi_fer/It2/ITA/2009	Italy	Italy	Rh. ferrumequinum	2009-XX-XX																						
KC633205	KC633205|Betacoronavirus|BtCoV/Rhi_fer/It13/ITA/2009	Italy	Italy	Rh. ferrumequinum	2009-XX-XX																						
KC633206	KC633206|Betacoronavirus|BtCoV/Rhi_fer/It15/ITA/2009	Italy	Italy	Rh. ferrumequinum	2009-XX-XX																						
KC633207	KC633207|Betacoronavirus|BtCoV/Rhi_fer/FR0711-B3/FRA/2011	France	France	Rh. ferrumequinum	2011-XX-XX																						
KC633208	KC633208|Betacoronavirus|BtCoV/Rhi_fer/FR0711-B11/FRA/2011	France	France	Rh. ferrumequinum	2011-XX-XX																						
KJ652335	KJ652335|Coronavirus|BtCoV/E63/HUN/2013	Hungary	Hungary	Rh. euryale	2013-XX-XX																						
KY502395	KY502395|SARS-related|coronavirus|isolate|BtCoV/Rhinolophus|ferrumequinum/LUX/LUX16_A_24/2016	Luxembourg	Luxembourg	Rh. ferrumequinum	2016-XX-XX																						
KY423376	KY423376|Betacoronavirus|sp.|isolate|FRA_EPI1_Rhfer975_2C_P23	France	France	Rh. ferrumequinum	2015-03-05				FRA																		
KY423377	KY423377|Betacoronavirus|sp.|isolate|FRA_EPI1_3889_5C_P30	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423378	KY423378|Betacoronavirus|sp.|isolate|FRA_EPI1_3958_1H_p31	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423379	KY423379|Betacoronavirus|sp.|isolate|FRA_EPI1_Rhfer33_A5_P10	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423395	KY423395|Betacoronavirus|sp.|isolate|FRA_EPI1_4015_9A_p31	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423401	KY423401|Betacoronavirus|sp.|isolate|FRA_EPI1_3971_3E_p31	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423402	KY423402|Betacoronavirus|sp.|isolate|FRA_EPI1_3877_3G_P30	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423403	KY423403|Betacoronavirus|sp.|isolate|FRA_EPI1_Rhfer.pool1_B11_P10	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423404	KY423404|Betacoronavirus|sp.|isolate|FRA_EPI1_3978_4D_p31	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423411	KY423411|Betacoronavirus|sp.|isolate|FRA_EPI1_3944_12B_P30	France	France	Rh. ferrumequinum	2015-06-19				FRA																		
KY423412	KY423412|Betacoronavirus|sp.|isolate|SPA_EPI1_Rhfer25_6H_P24	Spain	Spain	Rh. ferrumequinum	2015-06-05				FRA																		
KY423413	KY423413|Betacoronavirus|sp.|isolate|SPA_EPI1_Rhfer19_12B_P24	Spain	Spain	Rh. ferrumequinum	2015-06-05				FRA																		
KY423414	KY423414|Betacoronavirus|sp.|isolate|FRA_EPI1_3956_1F_p31	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423416	KY423416|Betacoronavirus|sp.|isolate|FRA_EPI1_3952_1B_p31	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423429	KY423429|Betacoronavirus|sp.|isolate|FRA_EPI1_3959_2A_p31	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423430	KY423430|Betacoronavirus|sp.|isolate|FRA_EPI1_3897_6C_P30	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423431	KY423431|Betacoronavirus|sp.|isolate|FRA_EPI1_3874_3D_P30	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423432	KY423432|Betacoronavirus|sp.|isolate|FRA_EPI1_3900_6F_P30	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY423433	KY423433|Betacoronavirus|sp.|isolate|FRA_EPI1_3968_3B_p31	France	France	Rh. ferrumequinum	2015-08-17				FRA																		
KY780391	KY780391|Bat|coronavirus|isolate|Rfer4019_IT_16	Italy	Italy	Rh. ferrumequinum	2016-XX-XX				ITA																		
KY780394	KY780394|Bat|coronavirus|isolate|Rfer4027_IT_16	Italy	Italy	Rh. ferrumequinum	2016-XX-XX				ITA																		
KY780399	KY780399|Bat|coronavirus|isolate|Rfer4674_IT_16	Italy	Italy	Rh. ferrumequinum	2016-XX-XX				ITA																		
KY780400	KY780400|Bat|coronavirus|isolate|Rfer4675_IT_2016	Italy	Italy	Rh. ferrumequinum	2016-XX-XX				ITA																		
MG975784	MG975784|Coronavirus|SarBatCoV1	Italy	Sardinia	Rh. ferrumequinum	2016-XX-XX				AUS+ITA																		
GU190215	GU190215|Bat|coronavirus|BM48-31/BGR/2008|BtCoV/BM48-31/BGR/2008	Bulgaria	Bulgaria	Rh. blasii	2008-XX-XX		Betacoronavirus		Charite	No	SARSr																
GU190217	GU190217|Bat|coronavirus|BB98-16/BGR/2008	Bulgaria	Bulgaria	Rh. blasii	2008-XX-XX				Charite																		
GU190221	GU190221|Bat|coronavirus|2B|BR98-19/BGR/2008	Bulgaria	Bulgaria	Rh. euryale	2008-XX-XX				Charite																		
GU190223	GU190223|Bat|coronavirus|BM98-13/BGR/2008	Bulgaria	Bulgaria	Rh. euryale	2008-XX-XX				Charite																		
GU190224	GU190224|Bat|coronavirus|BM48-12/BGR/2008	Bulgaria	Bulgaria	Rh. euryale	2008-XX-XX				Charite																		
GU190226	GU190226|Bat|coronavirus|BB98-43/BGR/2008	Bulgaria	Bulgaria	Rh. euryale	2008-XX-XX				Charite																		
GU190230	GU190230|Bat|coronavirus|BM48-35/BGR/2008	Bulgaria	Bulgaria	Rh. ferrumequinum	2008-XX-XX				Charite																		
KC633201	KC633201|Betacoronavirus|BtCoV/Rhi_bla/BB98-22/BGR/2008	Bulgaria	Bulgaria	Rh. blasii	2008-XX-XX				Charite																		
KC633202	KC633202|Betacoronavirus|BtCoV/Rhi_eur/BB99-04/BGR/2009	Bulgaria	Bulgaria	Rh. euryale	2009-XX-XX				Charite																		
KC633203	KC633203|Betacoronavirus|BtCoV/Rhi_eur/BB98-98/BGR/2008	Bulgaria	Bulgaria	Rh. euryale	2008-XX-XX				Charite																		
KC633204	KC633204|Betacoronavirus|BtCoV/Rhi_eur/BB98-92/BGR/2008	Bulgaria	Bulgaria	Rh. euryale	2008-XX-XX				Charite																		
MT121216	MT121216|Pangolin|coronavirus|isolate|MP789	China	Guangdong	Pangolin	2019-03-XX	Guangzhou			Guangdong	Yes																	
GWHBAUT01000001	MN312673|Bat|betacoronavirus|isolate|7952	China	Yunnan	Rh. affinis	2015-05-01	Tongguan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1921-10-08						YN	TG		possible		Southern		2015-05-01		
GWHBAUO01000001	MN312633|Bat|betacoronavirus|isolate|7907	China	Yunnan	Rh. affinis	2015-05-01	Tongguan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1921-08-24						YN	TG		possible		Southern		2015-05-01		
GWHBAUP01000001	MN312634|RaTG15|Bat|betacoronavirus|isolate|7909	China	Yunnan	Rh. affinis	2015-05-01	Tongguan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR	Yes	SARSr	1921-08-26						YN	TG		possible		Southern		2015-05-01		
GWHBAUS01000001	MN312672|Bat|betacoronavirus|isolate|7931	China	Yunnan	Rh. affinis	2015-05-01	Tongguan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1921-09-17	1900-01-01					YN	TG		possible		Southern		2015-05-01		
GWHBAUM01000001	MN312671|Bat|betacoronavirus|isolate|7896	China	Yunnan	Rh. affinis	2015-05-01	Tongguan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1921-08-13	1900-01-01					YN	TG		possible		Southern		2015-05-01		
GWHBAUR01000001	MN312636|Bat|betacoronavirus|isolate|7924	China	Yunnan	Rh. affinis	2015-05-01	Tongguan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1921-09-10						YN	TG		possible		Southern		2015-05-01		
GWHBAUQ01000001	MN312635|Bat|betacoronavirus|isolate|7921	China	Yunnan	Rh. affinis	2015-05-01	Tongguan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1921-09-07						YN	TG		possible		Southern		2015-05-01		
GWHBAUN01000001	MN312632|Bat|betacoronavirus|isolate|7905	China	Yunnan	Rh. affinis	2015-05-01	Tongguan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1921-08-22						YN	TG		possible		Southern		2015-05-01		
MN996532	MN996532|Bat|coronavirus|RaTG13	China	Yunnan	Rh. affinis	2013-07-24	Tongguan	Betacoronavirus	Ge et al. (2016)	WIV	No	SARSr	1913-08-30						YN	TG				Southern	2013-07-24	2013-07-01		
EPI_ISL_412977	EPI_ISL_412977|RmYN02	China	Yunnan	Rh. malayanus	2019-06-25	Menglun		Zhou et al. (2020)	Menglun	No																	
EPI_ISL_412976	EPI_ISL_412976|RmYN01	China	Yunnan	Rh. malayanus	2019-06-25	Menglun		Zhou et al. (2020)	Menglun																		
EPI_ISL_420039	EPI_ISL_420039|SARS-CoV-2|France/GE2720/2020	France	Grand Est	Human	2020-03-12																						
EPI_ISL_456190	EPI_ISL_456190|SARS-CoV-2|NewZealand/20VR1109/2020	New Zealand	New Zealand	Human	2020-03-04																						
MN908947	MN908947|SARS-CoV-2|Wuhan-Hu-1	China	Hubei	Human	2019-12-30	Wuhan				Yes																	
MW251308	MW251308|Bat|coronavirus|RacCS203	Thailand	Chachoengsao	Rh. acuminatus 	2020-06-19	Chachoengsao		Wacharapluesadee et al. (2021)	THAI	No																	
MW251309	MW251309|Bat|coronavirus|RacCS224	Thailand	Chachoengsao	Rh. acuminatus 	2020-06-19	Chachoengsao		Wacharapluesadee et al. (2021)	THAI																		
MW251310	MW251310|Bat|coronavirus|RacCS253	Thailand	Chachoengsao	Rh. acuminatus 	2020-06-19	Chachoengsao		Wacharapluesadee et al. (2021)	THAI																		
MW251311	MW251311|Bat|coronavirus|RacCS264	Thailand	Chachoengsao	Rh. acuminatus 	2020-06-20	Chachoengsao		Wacharapluesadee et al. (2021)	THAI																		
MW251312	MW251312|Bat|coronavirus|RacCS271	Thailand	Chachoengsao	Rh. acuminatus 	2020-06-20	Chachoengsao		Wacharapluesadee et al. (2021)	THAI																		
KJ473817	KJ473817|BtRf-BetaCoV/HeN2013|BtRf-HeN2013	China	Henan	Rh. ferrumequinum	2013-XX-XX	Henan	Betacoronavirus	Wu et al. (2016)	MOH		SARSr							HA					Far from Yunnan		2013-04-01		
GQ404796	GQ404796|SLO1A0050/2008/SVN	Slovenia	Slovenia	Rh. hipposideros 	2008-XX-XX			Rihtaric et al. (2010)																			
KJ473815	KJ473815|BtRs-BetaCoV/GX2013|BtRs-GX2013	China	Guangxi	Rh. sinicus	2012-XX-XX	Hezhou	Betacoronavirus	Wu et al. (2016)	MOH	No	SARSr							GX	?				Near Yunnan		2012-11-01		
KJ473816	KJ473816|BtRs-BetaCoV/YN2013|BtRs-YN2013	China	Yunnan	Rh. sinicus	2010-XX-XX	Kunming	Betacoronavirus	Wu et al. (2016)	MOH		SARSr							YN	?				YN Unknown		2010-12-01		
KU973686	KU973686|Severe|acute|respiratory|syndrome-related|coronavirus|F21	China	Yunnan	Rh. pusillus	2012-XX-XX	Tengchong	Betacoronavirus	Wang et al. (2017)	CDC		SARSr					1900-01-20		YN	-0				Western				
KU973692	KU973692|Severe|acute|respiratory|syndrome-related|coronavirus|F46	China	Yunnan	Rh. pusillus	2012-XX-XX	Mangshi	Betacoronavirus	Wang et al. (2017)	CDC		SARSr					1900-02-14		YN	-0				Western				
MK211378	MK211378|Coronavirus|BtRs-BetaCoV/YN2018D	China	Yunnan	Rh. affinis	2016-09-XX	Jinning	Betacoronavirus	Han et al. (2019)	MOH		SARSr							YN	?				YN Unknown		2016-09-01		
KF294441	KF294441|SARS-related|bat|coronavirus|Anlong-300	China	Guizhou	Rh. sinicus	2012-XX-XX	Anlong	Betacoronavirus	Lin et al. (2017)	CDC		SARSr					1900-10-26		GZ	-0				Near Yunnan				
KF294439	KF294439|SARS-related|bat|coronavirus|Anlong-29	China	Guizhou	Miniopterus schreibersii	2012-XX-XX	Anlong	Betacoronavirus	Lin et al. (2017)	CDC		SARSr					1900-01-28		GZ	-0				Near Yunnan				
KF294455	KF294455|SARS-related|bat|coronavirus|Anlong-111	China	Guizhou	Rh. rex	2012-XX-XX	Anlong	Betacoronavirus	Lin et al. (2017)	CDC		SARSr					1900-04-20		GZ	-0				Near Yunnan				
MK211375	MK211375|Coronavirus|BtRs-BetaCoV/YN2018A	China	Yunnan	Rh. affinis	2016-09-XX	Jinning	Betacoronavirus	Han et al. (2019)	MOH		SARSr							YN	?				YN Unknown		2016-09-01		
MN312867	MN312867|Bat|SARS-like|coronavirus|isolate|YC131468	China	Shaanxi	Rh. ferrumequinum	2013-XX-XX	Yangcheng	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr			1900-01-12	1904-01-07			SX	YC				Far from Yunnan		2013-10-01		
KX285182	KX285182|HZ13488	China	Guangdong	Rh. sinicus	2013-XX-XX	Huizhou	Betacoronavirus	Anthony et al. (2017), Latinne et al. (2020)	PREDICT		SARSr			1900-01-12	1901-05-02			GD	HZ				Far from Yunnan	2013-06-06	2013-06-01		
KX285180	KX285180|HZ13479	China	Guangdong	Rh. sinicus	2013-XX-XX	Huizhou	Betacoronavirus	Anthony et al. (2017), Latinne et al. (2020)	PREDICT		SARSr			1900-01-12	1901-04-23			GD	HZ				Far from Yunnan	2013-06-06	2013-06-01		
KF294440	KF294440|SARS-related|bat|coronavirus|Anlong-97	China	Guizhou	Rh. sinicus	2012-XX-XX	Anlong	Betacoronavirus	Lin et al. (2017)	CDC		SARSr					1900-04-06		GZ	-0				Near Yunnan				
MG772877	MG772877|SARS-related|bat|coronavirus|bat-SL-CoVZ2_60	China	Zhejiang	Rh. sinicus	2016-XX-XX	Dinghai	Betacoronavirus	Hu et al. (2018)	PLA+Oth		SARSr					1900-02-28		ZJ	Z2				Far from Yunnan		2016-01-01		
MG772872	MG772872|SARS-related|bat|coronavirus|bat-SL-CoVZ2_74	China	Zhejiang	Rh. sinicus	2016-XX-XX	Dinghai	Betacoronavirus	Hu et al. (2018)	PLA+Oth		SARSr					1900-03-14		ZJ	Z2				Far from Yunnan		2016-01-01		
GQ404795	GQ404795|Bat|coronavirus|SLO1A0066/2008/SVN	Slovenia	Slovenia	Rh. hipposideros 	2008-XX-XX																						
GQ404797	GQ404797|Bat|coronavirus|SLO1A0082/2008/SVN	Slovenia	Slovenia	Rh. hipposideros 	2008-XX-XX																						
KY423375	KY423375|Betacoronavirus|sp.|isolate|FRA_EPI1_Rhfer23_G3_P10	France	France	Rh. ferrumequinum	2014-08-01				FRA																		
KC633209	KC633209|Betacoronavirus|BtCoV/Rhi_hip/R8-09/SPA/2010	Spain	Spain	Rh. hipposideros 	2010-XX-XX				Charite																		
KC633210	KC633210|Betacoronavirus|BtCoV/Rhi_hip/R77-02/SPA/2010	Spain	Spain	Rh. hipposideros 	2010-XX-XX				Charite																		
KC633211	KC633211|Betacoronavirus|BtCoV/Rhi_hip/R07-09/SPA/2010	Spain	Spain	Rh. hipposideros 	2010-XX-XX				Charite																		
KC633212	KC633212|Betacoronavirus|BtCoV/Rhi_hip/R7-08/SPA/2010	Spain	Spain	Rh. hipposideros 	2010-XX-XX				Charite																		
KC633213	KC633213|Betacoronavirus|BtCoV/Rhi_hip/R46-03/SPA/2010	Spain	Spain	Rh. hipposideros 	2010-XX-XX				Charite																		
KC633214	KC633214|Betacoronavirus|BtCoV/Rhi_hip/R13-08/SPA/2010	Spain	Spain	Rh. hipposideros 	2010-XX-XX				Charite																		
KC633215	KC633215|Betacoronavirus|BtCoV/Rhi_hip/Slo69/SLO/2009	Slovenia	Slovenia	Rh. hipposideros 	2009-XX-XX				Charite																		
KC633216	KC633216|Betacoronavirus|BtCoV/Rhi_hip/Slo54/SLO/2009	Slovenia	Slovenia	Rh. hipposideros 	2009-XX-XX				Charite																		
KC633217	KC633217|Betacoronavirus|BtCoV/Rhi_hip/Slo57/SLO/2009	Slovenia	Slovenia	Rh. hipposideros 	2009-XX-XX				Charite																		
KC633218	KC633218|Betacoronavirus|BtCoV/Rhi_hip/Slo48/SLO/2009	Slovenia	Slovenia	Rh. hipposideros 	2009-XX-XX				Charite																		
KC633219	KC633219|Betacoronavirus|BtCoV/Rhi_hip/Slo53/SLO/2009	Slovenia	Slovenia	Rh. hipposideros 	2009-XX-XX				Charite																		
KC633220	KC633220|Betacoronavirus|BtCoV/Rhi_hip/Slo52/SLO/2009	Slovenia	Slovenia	Rh. hipposideros 	2009-XX-XX				Charite																		
KF500952	KF500952|Betacoronavirus|Rhinolophus|hipposideros/Italy/187632-2/2012	Italy	Italy	Rh. hipposideros 	2012-XX-XX				ITA																		
KF500953	KF500953|Betacoronavirus|Rhinolophus|hipposideros/Italy/196814/2011	Italy	Italy	Rh. hipposideros 	2011-XX-XX				ITA																		
KF500954	KF500954|Betacoronavirus|Rhinolophus|hipposideros/Italy/243585/2012	Italy	Italy	Rh. hipposideros 	2012-XX-XX				ITA																		
KT381914	KT381914|Rhinolophus|monoceros|coronavirus|isolate|CYCU-R9/TW/2013	Taiwan	Taiwan	Rh. monoceros	2013-11-23	Dongshan																					
KY432455	KY432455|Bat|coronavirus|isolate|16BO122	South Korea	South Korea	Rh. ferrumequinum	2016-04-XX																						
KY432457	KY432457|Bat|coronavirus|isolate|16BO132	South Korea	South Korea	Rh. ferrumequinum	2016-04-XX																						
KY775084	KY775084|Rhinolophus|pusillus|coronavirus|isolate|ZSR4	China	Zhejiang	Rh. pusillus	2015-XX-XX	Zhoushan		PMC5589946																			
KY775086	KY775086|Rhinolophus|pusillus|coronavirus|isolate|SSR10	China	Fujian	Rh. pusillus	2015-XX-XX	ShiShi		PMC5589946																			
KY775087	KY775087|Rhinolophus|pusillus|coronavirus|isolate|SSR2	China	Fujian	Rh. pusillus	2015-XX-XX	ShiShi		PMC5589946																			
KY775088	KY775088|Rhinolophus|pusillus|coronavirus|isolate|SSR1	China	Fujian	Rh. pusillus	2015-XX-XX	ShiShi		PMC5589946																			
KY775091	KY775091|Rhinolophus|pusillus|coronavirus|isolate|CLR7	China	Fujian	Rh. pusillus	2015-XX-XX	Changle		PMC5589946																			
MK991936	MK991936|Bat|coronavirus|isolate|B18-92	South Korea	South Korea	Rh. ferrumequinum	2018-05-24																						
MK991946	MK991946|Bat|coronavirus|isolate|B18-168	South Korea	South Korea	Rh. ferrumequinum	2018-09-30																						
MT040334	MT040334|Pangolin|coronavirus|isolate|PCoV_GX-P1E	China	Guangxi	Pangolin	2017-XX-XX					Yes																	
MT040335	MT040335|Pangolin|coronavirus|isolate|PCoV_GX-P5L	China	Guangxi	Pangolin	2017-XX-XX					Yes																	
MT072865	MT072865|Pangolin|coronavirus|isolate|PCoV_GX-P3B	China	Guangxi	Pangolin	2017-XX-XX					Yes																	
EPI_ISL_852604	EPI_ISL_852604|Cambodia/RShSTT182/2010	Cambodia	Steung Treng	Rh. shameli	2010-12-06	Steung Treng			Cambodia																		
EPI_ISL_852605	EPI_ISL_852605|Cambodia/RShSTT200/2010	Cambodia	Steung Treng	Rh. shameli	2010-12-06	Steung Treng			Cambodia																		
internal-node-root	internal-node-root	?	?	bat	?																						
KY770858	KY770858|Bat/Anlong-103	China	Guizhou	Rh. sinicus	2013	Anlong																					
MN823619	MN823619|Algeria/2017|Too_divergent_for_a_sarbecovirus	Algeria	Algeria	Myotis punicus	2017																						
KX285253	KX285253|PREDICT_CoV-62/AATKH	Tanzania	Tanzania	bat	2013-08-01																						
MG963188	MG963188|Bat/13GB0273	Gabon	Gabon	Hipposideros gigas	2013																						
MN312625	MN312625|Bat/7570	Laos	Laos	Hipposideros pomona	?			Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR																		
MN312608	MN312608|Bat/7519	Laos	Laos	Hipposideros pomona	?			Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR																		
MW703458	MW703458|bat/Yunnan/PrC31/2018	China	Yunnan	Rhinolophus	2018-08-XX	Puer			CDC																		
EPI_ISL_1699449	EPI_ISL_1699449|RsYN09/2020	China	Yunnan	Rh. sinicus	2020-07-28	Menglun		Zhou et al. (2021)	Menglun																		
EPI_ISL_1699448	EPI_ISL_1699448|RmYN08/2020	China	Yunnan	Rh. malayanus	2020-07-14	Menglun		Zhou et al. (2021)	Menglun																		
EPI_ISL_1699447	EPI_ISL_1699447|RmYN07/2020	China	Yunnan	Rh. malayanus	2020-06-03	Menglun		Zhou et al. (2021)	Menglun																		
EPI_ISL_1699446	EPI_ISL_1699446|RpYN06/2020	China	Yunnan	Rh. pusillus	2020-05-25	Menglun		Zhou et al. (2021)	Menglun																		
EPI_ISL_1699445	EPI_ISL_1699445|RmYN05/2020	China	Yunnan	Rh. malayanus	2020-05-25	Menglun		Zhou et al. (2021)	Menglun																		
EPI_ISL_1699444	EPI_ISL_1699444|RsYN04/2020	China	Yunnan	Rh. sinicus	2020-04-18	Menglun		Zhou et al. (2021)	Menglun																		
EPI_ISL_1699443	EPI_ISL_1699443|RsYN03/2019	China	Yunnan	Rh. sinicus	2019-10-22	Menglun		Zhou et al. (2021)	Menglun																		
MT726045	MT726045|Rwanda|PREDICT/PRD-0038/AABSMF|2011	Rwanda	Rwanda	Rhinolophus	2011-09-27				USA-PREDICT	No																	
MT726044	MT726044|Uganda|PREDICT/PDF-2370/OTBA35RSV|2013	Uganda	Uganda	Rhinolophus	2013-05-30				USA-PREDICT	No																	
MT726043	MT726043|Uganda|PREDICT/PDF-2386/OTBA40RSV|2013	Uganda	Uganda	Rhinolophus	2013-05-30				USA-PREDICT	No																	
MW880984	MW880984|bat/LBN/LB20-CO-BAT-14A/2020	Lebanon	Lebanon	Rh. ferrumequinum	2020-06-27	Lebanon		Said et al.	LBN																		
MW880993	MW880993|LBN/LB20-CO-BAT-22A/2020	Lebanon	Lebanon	Rh. ferrumequinum	2020-06-27	Lebanon		Said et al.	LBN																		
MW881006	MW881006|LBN/LB20-CO-BAT-19A/2020	Lebanon	Lebanon	Rh. ferrumequinum	2020-06-27	Lebanon		Said et al.	LBN																		
MW881011	MW881011|LBN/LB20-CO-BAT-20A/2020	Lebanon	Lebanon	Rh. ferrumequinum	2020-06-27	Lebanon		Said et al.	LBN																		
MW880999	MW880999|LBN/LB20-CO-BAT-26A/2020	Lebanon	Lebanon	Rh. ferrumequinum	2020-06-27	Lebanon		Said et al.	LBN																		
MZ190138	MZ190138|BtCoV/Khosta-2/Rh/Russia/2020	Russia	Sotchi	Rh. ferrumequinum	2020-06-01	Sotchi		Alkhovsky et al. (2021)	RUS																		
MZ190137	MZ190137|BtCoV/Khosta-1/Rh/Russia/2020	Russia	Sotchi	Rh. ferrumequinum	2020-06-01	Sotchi		Alkhovsky et al. (2021)	RUS																		
KX285134	KX285134|PREDICT-EHA-156-11-YN-SHC014	China	Yunnan	Rh. sinicus	2011-04-18	Jinning																					
KX285220	KX285220|PREDICT-EHA-156-12-NL13973	China	Guangdong	Rh. sinicus	2013-07-24	Nanling																					
KX285181	KX285181|PREDICT-EHA-156-12-HZ13484	China	Guangdong	Rh. sinicus	2013-06-06	Huizhou																					
KX285156	KX285156|PREDICT-EHA-156-12-BJ-FS029	China	Beijing	Rh. ferrumequinum	2013-02-21	Beijing																					
KX285136	KX285136|PREDICT-EHA-156-12-AH-YLD023	China	Anhui	Hipposideros armiger	2013-03-12	Anhui																					
KX285135	KX285135|PREDICT-EHA-156-12-AH-YLD018	China	Anhui	Hipposideros armiger	2013-03-12	Anhui																					
RhGB01	RhGB01	United Kingdom	United Kingdom	Rh. Hipposideros	2020-09-XX	Gloucestershire		Crook et al. (2021)	UK																		
MZ558550	MZ558550|BatCoV-BD10/Croatia/2020	Croatia	Croatia	bat	2020-10-09	Croatia		Lojkic et al. (2021)	CROATIA																		
MW600674	MW600674|Rs/162180/2016	China	China	Rh. sinicus	2016-08-13	China			LibiaoZhang																		
MW600675	MW600675|Rs/162182/2016	China	China	Rh. sinicus	2016-08-13	China			LibiaoZhang																		
MW600676	MW600676|Rs/162155/2016	China	China	Rh. sinicus	2016-08-13	China			LibiaoZhang																		
MW600677	MW600677|Rs/162166/2016	China	China	Rh. sinicus	2016-08-13	China			LibiaoZhang																		
MW600680	MW600680|Rs/162172/2016	China	China	Rh. sinicus	2016-08-13	China			LibiaoZhang																		
MW600681	MW600681|Rs/162176/2016	China	China	Rh. sinicus	2016-08-13	China			LibiaoZhang																		
MW600682	MW600682|Rs/162181/2016	China	China	Rh. sinicus	2016-08-13	China			LibiaoZhang																		
MW600670	MW600670|Rs/162170/2016	China	China	Rh. sinicus	2016-08-13	China			LibiaoZhang																		
